
corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
3,4,1,12,64,89,1,12,13,2,0,0,3,,7,19,Temporada 2012-13,13,11,Granada,Celta,69,9,0,0,4,3,90,3,Jornada 6,8
6,6,5,12,64,97,0,12,7,4,1,0,,,23,3,Temporada 2012-13,7,,Málaga,Betis,78,1,0,0,14,0,81,2,Jornada 6,6
3,3,0,20,55,78,0,20,11,2,0,0,5,,12,17,Temporada 2012-13,11,12,Valencia,Zaragoza,58,8,0,0,5,2,78,4,Jornada 6,8
12,2,1,13,77,103,0,13,14,2,0,0,12,,19,7,Temporada 2012-13,14,2,R. Sociedad,Athletic,82,1,0,0,10,5,95,1,Jornada 6,5
2,4,5,15,55,85,3,15,3,2,0,1,2,,8,15,Temporada 2012-13,3,6,Sevilla,Barcelona,68,7,0,0,3,2,80,2,Jornada 6,7
12,2,1,17,54,86,0,17,12,1,1,0,12,,24,11,Temporada 2012-13,12,3,Getafe,Mallorca,70,4,0,0,6,3,72,2,Jornada 6,2
3,0,1,11,59,66,4,11,17,2,0,1,4,,7,21,Temporada 2012-13,17,10,Betis,Atlético,36,10,0,0,4,3,75,4,Jornada 3,11
6,2,1,30,73,98,2,30,21,3,0,0,,,12,9,Temporada 2012-13,21,,Levante,Espanyol,64,2,0,0,5,6,101,5,Jornada 3,2
5,1,1,21,78,91,0,21,11,0,0,1,7,,11,19,Temporada 2012-13,11,6,Rayo,Sevilla,61,5,0,0,3,1,107,4,Jornada 3,6
6,7,1,12,56,97,0,12,11,3,0,0,7,,22,7,Temporada 2012-13,11,1,R. Madrid,Granada,77,0,0,0,8,2,82,2,Jornada 3,3
